"creation_id","rank","category","material_detail","compound_id","compound_name","canonical_url","caption_lock","shot_family","camera_angle","camera_direction","framing","scene_brief","quality_var_count","quality_suffix","aspect_ratio","duration_seconds","resolution","model_still","model_video","still_resolution","video_prompt","video_motion_prompt","status","times_used","last_used_at","reel_still_url","video_url","surface","lighting","camera_move","color_grade","hero_style","source_id","vibe","theme","workflow"
"LI-028","1","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-AOD-001","AOD-9604","https://www.palmbeach-vitality.store/products/aod-9604","Captions MUST be only about AOD-9604 (V-AOD-001) and https://www.palmbeach-vitality.store/products/aod-9604.","vial_landscape","eye-level","front","9:16 vertical product-focused framing, eye-level front, hero mid-ground, full scene depth not extreme macro","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A sleek glass peptide vial in complete darkness until a precise light beam illuminates only the label area, while soft white powder explodes outward then reforms into the bottle shape. Golden hour light slides across the surface creating long lens flares. Vibe: Funny. Theme: Fat Loss & Metabolism. Product lock: AOD-9604 (V-AOD-001). Material: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Keep a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","funny","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: AOD-9604. Category: vial_10ml. Source motion intent: A sleek glass peptide vial in complete darkness until a precise light beam illuminates only the label area, while soft white powder explodes outward then reforms into the bottle shape. Golden hour light slides across the surface creating long lens flares. Hero style: 10mL sterile crimp-seal vial of AOD-9604 mid-ground; never black twist/screw cap; not extreme macro. Lighting: bright practicals with playful rim accents. Grade: punchy contrast grade, playful light accents without cartoon look. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: slow push-in.","slow push-in; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A sleek glass peptide vial in complete darkness until a precise light beam illuminates only the label area","bright practicals with playful rim accents","slow push-in","punchy contrast grade, playful light accents without cartoon look","10mL sterile crimp-seal vial of AOD-9604 mid-ground; never black twist/screw cap; not extreme macro","28","Funny","Fat Loss & Metabolism","vid_gen_landscape_scenes"
"LI-082","2","set_environment","","P-KLO-001","KPV / BPC-157 / TB-500 / GHK-Cu","https://www.palmbeach-vitality.store/products/klow-pen","Captions MUST be only about KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001) and https://www.palmbeach-vitality.store/products/klow-pen.","environment_landscape","low-angle","slight-left","9:16 vertical environmental framing, product mid-ground when present, low-angle slight-left, deep set context","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A minimalist wellness bottle on a cracked dry leaf that unfurls and turns lush green beside it, with its label slowly peeling back just enough to hint at a second layer underneath. Time-lapse growth and repair happens in the periphery only. Vibe: Fun. Theme: Nature Regeneration. Product lock: KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001). Material: research catalog material. Keep a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","fun","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: KPV / BPC-157 / TB-500 / GHK-Cu. Category: set_environment. Source motion intent: A minimalist wellness bottle on a cracked dry leaf that unfurls and turns lush green beside it, with its label slowly peeling back just enough to hint at a second layer underneath. Time-lapse growth and repair happens in the periphery only. Hero style: environment-led landscape; KPV / BPC-157 / TB-500 / GHK-Cu locked via typography / subtle mid-ground prop only. Lighting: bright soft key, cheerful clean fill. Grade: bright clean grade, vivid but controlled accents. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: subtle orbit right.","subtle orbit right; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A minimalist wellness bottle on a cracked dry leaf that unfurls and turns lush green beside it","bright soft key, cheerful clean fill","subtle orbit right","bright clean grade, vivid but controlled accents","environment-led landscape; KPV / BPC-157 / TB-500 / GHK-Cu locked via typography / subtle mid-ground prop only","82","Fun","Nature Regeneration","vid_gen_landscape_scenes"
"LI-015","3","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-BPC-001","BPC-157","https://www.palmbeach-vitality.store/products/bpc-157","Captions MUST be only about BPC-157 (V-BPC-001) and https://www.palmbeach-vitality.store/products/bpc-157.","vial_landscape","high-angle","profile-right","9:16 vertical product-focused framing, high-angle profile-right, hero mid-ground, full scene depth not extreme macro","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A pure white ceramic-capped vial on a mountaintop rock with distant clouds drifting past, while fine mist rises from the surface in elegant swirls. The scene has a quiet, almost sacred stillness interrupted only by intentional motion. Vibe: Fun. Theme: Resilience & Strength. Product lock: BPC-157 (V-BPC-001). Material: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Keep a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","fun","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: BPC-157. Category: vial_10ml. Source motion intent: A pure white ceramic-capped vial on a mountaintop rock with distant clouds drifting past, while fine mist rises from the surface in elegant swirls. The scene has a quiet, almost sacred stillness interrupted only by intentional motion. Hero style: 10mL sterile crimp-seal vial of BPC-157 mid-ground; never black twist/screw cap; not extreme macro. Lighting: bright soft key, cheerful clean fill. Grade: bright clean grade, vivid but controlled accents. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: subtle drift right.","subtle drift right; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A pure white ceramic-capped vial on a mountaintop rock with distant clouds drifting past","bright soft key, cheerful clean fill","subtle drift right","bright clean grade, vivid but controlled accents","10mL sterile crimp-seal vial of BPC-157 mid-ground; never black twist/screw cap; not extreme macro","15","Fun","Resilience & Strength","vid_gen_landscape_scenes"
"LI-091","4","set_environment","","P-MOT-001","MOTS-C","https://www.palmbeach-vitality.store/products/mots-c","Captions MUST be only about MOTS-C (P-MOT-001) and https://www.palmbeach-vitality.store/products/mots-c.","environment_landscape","slightly elevated","oblique right","9:16 vertical environmental framing, product mid-ground when present, slightly elevated oblique right, deep set context","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A frosted glass bottle of cellular support amidst floating dandelion seeds that orbit then settle, as a single red drop forms and slowly shapes itself into a heart before falling. Extreme slow-motion emphasizes every micro-movement of liquid and light. Vibe: Cool. Theme: Stacks & Synergy. Product lock: MOTS-C (P-MOT-001). Material: research catalog material. Keep a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","cool","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: MOTS-C. Category: set_environment. Source motion intent: A frosted glass bottle of cellular support amidst floating dandelion seeds that orbit then settle, as a single red drop forms and slowly shapes itself into a heart before falling. Extreme slow-motion emphasizes every micro-movement of liquid and light. Hero style: environment-led landscape; MOTS-C locked via typography / subtle mid-ground prop only. Lighting: cool soft key + clean rim light. Grade: cool teal-silver grade, clean sterile highlights. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: gentle pull-out.","gentle pull-out; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A frosted glass bottle of cellular support amidst floating dandelion seeds that orbit then settle","cool soft key + clean rim light","gentle pull-out","cool teal-silver grade, clean sterile highlights","environment-led landscape; MOTS-C locked via typography / subtle mid-ground prop only","91","Cool","Stacks & Synergy","vid_gen_landscape_scenes"
"LI-018","5","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-CAG-001","Cagrilinitide","https://www.palmbeach-vitality.store/products/cargrilinitide","Captions MUST be only about Cagrilinitide (V-CAG-001) and https://www.palmbeach-vitality.store/products/cargrilinitide.","vial_landscape","slightly low","front","9:16 vertical product-focused framing, slightly low front, hero mid-ground, full scene depth not extreme macro","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A pure white ceramic-capped vial on an empty gym floor mat with a single chalk mark that slowly fades, as the product casts a shadow that moves independently of the light source. Golden hour light slides across the surface creating long lens flares. Vibe: Cool. Theme: Focus & Clarity. Product lock: Cagrilinitide (V-CAG-001). Material: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Keep a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","cool","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: Cagrilinitide. Category: vial_10ml. Source motion intent: A pure white ceramic-capped vial on an empty gym floor mat with a single chalk mark that slowly fades, as the product casts a shadow that moves independently of the light source. Golden hour light slides across the surface creating long lens flares. Hero style: 10mL sterile crimp-seal vial of Cagrilinitide mid-ground; never black twist/screw cap; not extreme macro. Lighting: cool soft key + clean rim light. Grade: cool teal-silver grade, clean sterile highlights. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: slow rise.","slow rise; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A pure white ceramic-capped vial on an empty gym floor mat with a single chalk mark that slowly fades","cool soft key + clean rim light","slow rise","cool teal-silver grade, clean sterile highlights","10mL sterile crimp-seal vial of Cagrilinitide mid-ground; never black twist/screw cap; not extreme macro","18","Cool","Focus & Clarity","vid_gen_landscape_scenes"
"LI-096","6","set_environment","","P-NAD-001","NAD+","https://www.palmbeach-vitality.store/products/nad-pen-500mg","Captions MUST be only about NAD+ (P-NAD-001) and https://www.palmbeach-vitality.store/products/nad-pen-500mg.","environment_landscape","three-quarter","front-left","9:16 vertical environmental framing, product mid-ground when present, three-quarter front-left, deep set context","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A frosted glass bottle of cellular support nestled among vibrant green moss that densifies in time-lapse, while surrounding water freezes in elegant crystals then melts cleanly. Golden hour light slides across the surface creating long lens flares. Vibe: Funny. Theme: Nature Regeneration. Product lock: NAD+ (P-NAD-001). Material: research catalog material. Keep a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","funny","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: NAD+. Category: set_environment. Source motion intent: A frosted glass bottle of cellular support nestled among vibrant green moss that densifies in time-lapse, while surrounding water freezes in elegant crystals then melts cleanly. Golden hour light slides across the surface creating long lens flares. Hero style: environment-led landscape; NAD+ locked via typography / subtle mid-ground prop only. Lighting: bright practicals with playful rim accents. Grade: punchy contrast grade, playful light accents without cartoon look. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: arc push around product.","arc push around product; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A frosted glass bottle of cellular support nestled among vibrant green moss that densifies in time-lapse","bright practicals with playful rim accents","arc push around product","punchy contrast grade, playful light accents without cartoon look","environment-led landscape; NAD+ locked via typography / subtle mid-ground prop only","96","Funny","Nature Regeneration","vid_gen_landscape_scenes"
"LI-021","7","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-CII-001","CJC (no DAC)/Ipamorelin","https://www.palmbeach-vitality.store/products/cjc-ipamorelin","Captions MUST be only about CJC (no DAC)/Ipamorelin (V-CII-001) and https://www.palmbeach-vitality.store/products/cjc-ipamorelin.","vial_landscape","over-shoulder product","profile-right","9:16 vertical product-focused framing, over-shoulder product profile-right, hero mid-ground, full scene depth not extreme macro","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A pure white ceramic-capped vial on a scale platform that tips slightly toward the lighter side, with dew drops assembling themselves into geometric patterns on the glass. A gentle breeze moves surrounding elements without disturbing the product. Vibe: Funny. Theme: Energy & Cellular Power. Product lock: CJC (no DAC)/Ipamorelin (V-CII-001). Material: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Keep a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","funny","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: CJC (no DAC)/Ipamorelin. Category: vial_10ml. Source motion intent: A pure white ceramic-capped vial on a scale platform that tips slightly toward the lighter side, with dew drops assembling themselves into geometric patterns on the glass. A gentle breeze moves surrounding elements without disturbing the product. Hero style: 10mL sterile crimp-seal vial of CJC (no DAC)/Ipamorelin mid-ground; never black twist/screw cap; not extreme macro. Lighting: bright practicals with playful rim accents. Grade: punchy contrast grade, playful light accents without cartoon look. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: gentle pan left.","gentle pan left; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A pure white ceramic-capped vial on a scale platform that tips slightly toward the lighter side","bright practicals with playful rim accents","gentle pan left","punchy contrast grade, playful light accents without cartoon look","10mL sterile crimp-seal vial of CJC (no DAC)/Ipamorelin mid-ground; never black twist/screw cap; not extreme macro","21","Funny","Energy & Cellular Power","vid_gen_landscape_scenes"
"LI-098","8","set_environment","","P-PT1-001","PT-141","https://www.palmbeach-vitality.store/products/pt-141-pen","Captions MUST be only about PT-141 (P-PT1-001) and https://www.palmbeach-vitality.store/products/pt-141-pen.","environment_landscape","top-down 3/4","oblique right","9:16 vertical environmental framing, product mid-ground when present, top-down 3/4 oblique right, deep set context","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A frosted glass bottle of cellular support on a bed of white salt crystals that slowly rearrange, as the product seems to age backward — surface becomes cleaner and brighter. Soft volumetric god-rays cut through the scene. Vibe: Fun. Theme: Abstract Cellular. Product lock: PT-141 (P-PT1-001). Material: research catalog material. Keep a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","fun","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: PT-141. Category: set_environment. Source motion intent: A frosted glass bottle of cellular support on a bed of white salt crystals that slowly rearrange, as the product seems to age backward — surface becomes cleaner and brighter. Soft volumetric god-rays cut through the scene. Hero style: environment-led landscape; PT-141 locked via typography / subtle mid-ground prop only. Lighting: bright soft key, cheerful clean fill. Grade: bright clean grade, vivid but controlled accents. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: gentle lateral slide right.","gentle lateral slide right; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A frosted glass bottle of cellular support on a bed of white salt crystals that slowly rearrange","bright soft key, cheerful clean fill","gentle lateral slide right","bright clean grade, vivid but controlled accents","environment-led landscape; PT-141 locked via typography / subtle mid-ground prop only","98","Fun","Abstract Cellular","vid_gen_landscape_scenes"
"LI-019","9","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-CJC-001","CJC (no DAC)","https://www.palmbeach-vitality.store/products/cjc","Captions MUST be only about CJC (no DAC) (V-CJC-001) and https://www.palmbeach-vitality.store/products/cjc.","vial_landscape","worm-level product rise","front","9:16 vertical product-focused framing, worm-level product rise front, hero mid-ground, full scene depth not extreme macro","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A frosted glass bottle of cellular support on a circular platform of polished copper that warms with a soft glow, with two identical vials in a perfect staring contest, zero movement. Soft volumetric god-rays cut through the scene. Vibe: Funny. Theme: Beach & Ocean. Product lock: CJC (no DAC) (V-CJC-001). Material: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Keep a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","funny","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: CJC (no DAC). Category: vial_10ml. Source motion intent: A frosted glass bottle of cellular support on a circular platform of polished copper that warms with a soft glow, with two identical vials in a perfect staring contest, zero movement. Soft volumetric god-rays cut through the scene. Hero style: 10mL sterile crimp-seal vial of CJC (no DAC) mid-ground; never black twist/screw cap; not extreme macro. Lighting: bright practicals with playful rim accents. Grade: punchy contrast grade, playful light accents without cartoon look. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp only. FORBIDDEN: black twist caps, screw caps, droppers. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: gentle lateral slide left.","gentle lateral slide left; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A frosted glass bottle of cellular support on a circular platform of polished copper that warms with a soft glow","bright practicals with playful rim accents","gentle lateral slide left","punchy contrast grade, playful light accents without cartoon look","10mL sterile crimp-seal vial of CJC (no DAC) mid-ground; never black twist/screw cap; not extreme macro","19","Funny","Beach & Ocean","vid_gen_landscape_scenes"
"LI-105","10","set_environment","","P-SEL-001","Selank","https://www.palmbeach-vitality.store/products/selank-pen","Captions MUST be only about Selank (P-SEL-001) and https://www.palmbeach-vitality.store/products/selank-pen.","environment_landscape","table-height hero","slight-left","9:16 vertical environmental framing, product mid-ground when present, table-height hero slight-left, deep set context","9:16 vertical creation for workflow vid_gen_landscape_scenes. Visual+motion: A frosted glass bottle of cellular support on a scale platform that tips slightly toward the lighter side, as the liquid inside becomes visibly thinner and more fluid in motion. Reflections and refractions in the glass create secondary visual interest. Vibe: Cool. Theme: Focus & Clarity. Product lock: Selank (P-SEL-001). Material: research catalog material. Keep a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters.","1","cool","9:16","15","1080p","grok-imagine-image-quality","grok-imagine-video-1.5","2k","Animate this 9:16 vertical still. Product: Selank. Category: set_environment. Source motion intent: A frosted glass bottle of cellular support on a scale platform that tips slightly toward the lighter side, as the liquid inside becomes visibly thinner and more fluid in motion. Reflections and refractions in the glass create secondary visual interest. Hero style: environment-led landscape; Selank locked via typography / subtle mid-ground prop only. Lighting: cool soft key + clean rim light. Grade: cool teal-silver grade, clean sterile highlights. SIGNAGE RULE: premium clean set only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. No alert words on walls, floors, labels, or posters. Camera move: gentle pan right.","gentle pan right; preserve product identity; emphasize environmental motion from source brief; no new text; no people","Active","0","","","","A frosted glass bottle of cellular support on a scale platform that tips slightly toward the lighter side","cool soft key + clean rim light","gentle pan right","cool teal-silver grade, clean sterile highlights","environment-led landscape; Selank locked via typography / subtle mid-ground prop only","105","Cool","Focus & Clarity","vid_gen_landscape_scenes"
