compound_id,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes,reel_video_url,buffer_ig_reel_id,buffer_fb_reel_id
P-KLO-001,KLOW,Hormonal / Recovery Blend,Pen,KLOW four-compound recovery blend pen,Convenient pre-filled research pen,KPV/BPC-157/TB-500/GHK blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/klow-pen,#KLOW #PeptidePen #RecoveryResearch #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,1,,1,Hero Spotlight,,,,,,3mL Pen 10/10/10/50mg,,,,
P-MOT-001,MOTS-C,Longevity / Metabolic,Pen,MOTS-C mitochondrial peptide pen,Cellular energy research,Mitochondrial-derived peptide,Mechanism,https://www.palmbeach-vitality.store/products/mots-c,#MOTSC #PeptidePen #LongevityResearch #PalmBeachVitality,Verify this is the pen listing,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,2,,1,Mechanism Carousel,,,,,,20mg 3mL Pen — confirm URL on site,,,,
P-NAD-001,NAD+,Longevity / Cellular,Pen,NAD+ pre-filled research pen,Cellular energy research,Nicotinamide adenine dinucleotide,Wellness Angle,https://www.palmbeach-vitality.store/products/nad-pen-500mg,#NAD #PeptidePen #LongevityResearch #PalmBeachVitality,Also maps nad-500mg,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,3,,1,3-Bullet Benefits,,,,,,500mg 3mL Pen,,,,
P-PT1-001,PT-141,Hormonal / Specialty,Pen,PT-141 pre-filled research pen,Specialty hormonal research,Melanocortin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/pt-141-pen,#PT141 #PeptidePen #PalmBeachVitality,Sensitive category — educational tone only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,4,,1,FAQ Slide,,,,,,10mg 3mL Pen,,,,
P-SMX-001,SEMAX,Cognitive / Nootropic,Pen,Semax nootropic pre-filled pen,Cognitive performance research,ACTH(4-10) analog,Compare,https://www.palmbeach-vitality.store/products/semax-pen,#Semax #NootropicResearch #PeptidePen #PalmBeachVitality,Pen-only product,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,5,,1,Mechanism Carousel,,,,,,20mg Pen,,,,
P-SEL-001,Selank,Cognitive / Nootropic,Pen,Selank nootropic pre-filled pen,Cognitive and mood research,Synthetic tuftsin analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/selank-pen,#Selank #NootropicResearch #PeptidePen #PalmBeachVitality,No anxiety treatment claims,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,6,,1,Hero Spotlight,,,,,,20mg 3mL Pen,,,,
P-SER-001,Sermorelin,Hormonal / GH Secretagogue,Pen,Sermorelin GH research pen,GH secretagogue research,GHRH(1-29) analog,Mechanism,https://www.palmbeach-vitality.store/products/sermorelin-pen,#Sermorelin #PeptidePen #HormonalResearch #PalmBeachVitality,Research use only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,7,,1,Mechanism Carousel,,,,,,10mg 3mL Pen,,,,
P-TA1-001,TA-1,Immune / Thymic,Pen,Thymosin Alpha-1 immune research pen,Immune system research,Thymosin alpha-1 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ta-2,#TA1 #PeptidePen #ImmuneResearch #PalmBeachVitality,Pen may be listed as ta-2 on site,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,8,,1,3-Bullet Benefits,,,,,,10mg 3mL Pen — verify ta-2 is pen listing,,,,
P-TES-001,Tesamorelin,Hormonal / GH Secretagogue,Pen,Tesamorelin GH research pen,Growth hormone research,GHRH analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/tesamorelin-30mg-pen,#Tesamorelin #PeptidePen #HormonalResearch #PalmBeachVitality,All pen sizes map here,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,10,,1,Hero Spotlight,,,,,,Also maps tesamorelin-10mg-pen,,,,
P-TEI-001,Tesamorelin/Ipamorelin,Hormonal / GH Blend,Pen,Dual GH pathway blend pen,Synergistic GH research,Tesamorelin + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/tesamorelin-ipamorelin-pen,#Tesamorelin #Ipamorelin #PeptidePen #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,11,,1,Mechanism Carousel,,,,,,12mg/3mg 3mL Pen,,,,
P-BPC-001,BPC-157,Recovery / Healing,Pen,BPC-157 recovery research pen,Tissue recovery research,Pentadecapeptide BPC-157,Spotlight Hero,https://www.palmbeach-vitality.store/products/bpc-157-pen,#BPC157 #PeptidePen #RecoveryResearch #PalmBeachVitality,Avoid injury cure language,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,12,2026-07-30,1,Hero Spotlight,,,,6a6bdaad961582f29fee5e34,6a6bdaacbb30a36747fdacf2,20mg 3mL Pen,,https://vidgen.x.ai/xai-vidgen-bucket/xai-video-8f7cd193-ef3a-9b6e-9db4-8df4f52955d6.mp4,6a6bdaaba788ee4615162868,6a6bdaaba7a516cf4d29a0b3
P-WOL-001,BPC-157/TB-500 (Wolverine),Recovery / Healing Blend,Pen,Wolverine recovery blend pen,Dual recovery peptide blend,BPC-157 + TB-500 blend,Mechanism,https://www.palmbeach-vitality.store/products/wolverine-pen,#Wolverine #BPC157 #TB500 #PeptidePen #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,13,,1,Mechanism Carousel,,,,,,10mg/10mg 3mL Pen,,,,
P-CII-001,CJC (no DAC)/Ipamorelin,Hormonal / GH Blend,Pen,CJC and Ipamorelin stack pen,Synergistic GH research,CJC (no DAC) + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin-1,#CJC1295 #Ipamorelin #PeptidePen #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,14,,1,Mechanism Carousel,,,,,,10/10mg 3mL Pen,,,,
