scene_id,scene_category,scene_name,lab_environment,camera,lighting,product_hero,product_form_detail,compound_id,compound_name,canonical_url,scene_brief,caption_lock,status,rotation_order,last_used_date
LAB-001,lab_scene,Lab environment 01,wide sterile ISO cleanroom with HEPA ceiling grid and clean floor lane markings,"wide establishing shot, 24mm equivalent, deep focus",cool cyan-blue biotech rim with soft overhead panels,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-KLO-001,KPV / BPC-157 / TB-500 / GHK-Cu,https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk,"FULL LAB SCENE (wide). Environment: wide sterile ISO cleanroom with HEPA ceiling grid and clean floor lane markings. Camera: wide establishing shot, 24mm equivalent, deep focus. Lighting: cool cyan-blue biotech rim with soft overhead panels. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: KPV / BPC-157 / TB-500 / GHK-Cu (V-KLO-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about KPV / BPC-157 / TB-500 / GHK-Cu (V-KLO-001) and its catalog listing.,Active,1,
LAB-002,lab_scene,Lab environment 02,multi-bay peptide synthesis suite with tall glass reactors and walkways,elevated three-quarter wide shot of the whole bay,warm-neutral catalog softboxes with clean speculars,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-MOT-001,MOTS-C,https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial,"FULL LAB SCENE (wide). Environment: multi-bay peptide synthesis suite with tall glass reactors and walkways. Camera: elevated three-quarter wide shot of the whole bay. Lighting: warm-neutral catalog softboxes with clean speculars. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: MOTS-C (V-MOT-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about MOTS-C (V-MOT-001) and its catalog listing.,Active,2,
LAB-003,lab_scene,Lab environment 03,analytical chemistry corridor lined with HPLC and LC-MS instrument banks,dolly-style wide hallway perspective into the lab,"high-key sterile white lighting, minimal shadows",no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-NAD-001,NAD+,https://www.palmbeach-vitality.store/products/nad-1,"FULL LAB SCENE (wide). Environment: analytical chemistry corridor lined with HPLC and LC-MS instrument banks. Camera: dolly-style wide hallway perspective into the lab. Lighting: high-key sterile white lighting, minimal shadows. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: NAD+ (V-NAD-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about NAD+ (V-NAD-001) and its catalog listing.,Active,3,
LAB-004,lab_scene,Lab environment 04,cold-chain vault anteroom with stainless freezers and temperature displays,architectural wide shot showing ceiling utilities and floor plane,low-key dramatic instrument LEDs with controlled haze,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-PT1-001,PT-141,https://www.palmbeach-vitality.store/products/pt-141,"FULL LAB SCENE (wide). Environment: cold-chain vault anteroom with stainless freezers and temperature displays. Camera: architectural wide shot showing ceiling utilities and floor plane. Lighting: low-key dramatic instrument LEDs with controlled haze. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: PT-141 (V-PT1-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about PT-141 (V-PT1-001) and its catalog listing.,Active,4,
LAB-005,lab_scene,Lab environment 05,formulation suite with laminar flow hoods in a long laboratory hall,medium-wide environmental shot with product as a small mid-ground element,daylight through clerestory windows plus fill cards,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-SEL-001,Selank,https://www.palmbeach-vitality.store/products/selank,"FULL LAB SCENE (wide). Environment: formulation suite with laminar flow hoods in a long laboratory hall. Camera: medium-wide environmental shot with product as a small mid-ground element. Lighting: daylight through clerestory windows plus fill cards. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Selank (V-SEL-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Selank (V-SEL-001) and its catalog listing.,Active,5,
LAB-006,lab_scene,Lab environment 06,"quality-control lab with assay benches, vial racks, and instrument glow","wide establishing shot, 24mm equivalent, deep focus",cool cyan-blue biotech rim with soft overhead panels,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-SER-001,Sermorelin,https://www.palmbeach-vitality.store/products/sermorelin,"FULL LAB SCENE (wide). Environment: quality-control lab with assay benches, vial racks, and instrument glow. Camera: wide establishing shot, 24mm equivalent, deep focus. Lighting: cool cyan-blue biotech rim with soft overhead panels. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Sermorelin (V-SER-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Sermorelin (V-SER-001) and its catalog listing.,Active,6,
LAB-007,lab_scene,Lab environment 07,prototype engineering bay with peptide synthesizer chassis and cable trays,elevated three-quarter wide shot of the whole bay,warm-neutral catalog softboxes with clean speculars,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-SS3-001,SS-31,https://www.palmbeach-vitality.store/products/ss-31,"FULL LAB SCENE (wide). Environment: prototype engineering bay with peptide synthesizer chassis and cable trays. Camera: elevated three-quarter wide shot of the whole bay. Lighting: warm-neutral catalog softboxes with clean speculars. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: SS-31 (V-SS3-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about SS-31 (V-SS3-001) and its catalog listing.,Active,7,
LAB-008,lab_scene,Lab environment 08,dark-mode futuristic biotech floor with cyan LED path lighting,dolly-style wide hallway perspective into the lab,"high-key sterile white lighting, minimal shadows",no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-TB5-001,TB-500,https://www.palmbeach-vitality.store/products/tb-500,"FULL LAB SCENE (wide). Environment: dark-mode futuristic biotech floor with cyan LED path lighting. Camera: dolly-style wide hallway perspective into the lab. Lighting: high-key sterile white lighting, minimal shadows. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: TB-500 (V-TB5-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about TB-500 (V-TB5-001) and its catalog listing.,Active,8,
LAB-009,lab_scene,Lab environment 09,glass-walled observation gallery overlooking a synthesis cleanroom,architectural wide shot showing ceiling utilities and floor plane,low-key dramatic instrument LEDs with controlled haze,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-TES-001,Tesamorelin,https://www.palmbeach-vitality.store/products/tesamorelin,"FULL LAB SCENE (wide). Environment: glass-walled observation gallery overlooking a synthesis cleanroom. Camera: architectural wide shot showing ceiling utilities and floor plane. Lighting: low-key dramatic instrument LEDs with controlled haze. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Tesamorelin (V-TES-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Tesamorelin (V-TES-001) and its catalog listing.,Active,9,
LAB-010,lab_scene,Lab environment 10,central lab atrium with mezzanine instruments and hanging utility drops,medium-wide environmental shot with product as a small mid-ground element,daylight through clerestory windows plus fill cards,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-BPC-001,BPC-157,https://www.palmbeach-vitality.store/products/bpc-157,"FULL LAB SCENE (wide). Environment: central lab atrium with mezzanine instruments and hanging utility drops. Camera: medium-wide environmental shot with product as a small mid-ground element. Lighting: daylight through clerestory windows plus fill cards. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: BPC-157 (V-BPC-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about BPC-157 (V-BPC-001) and its catalog listing.,Active,10,
LAB-011,lab_scene,Lab environment 11,chromatography alley with tall columns and solvent cabinets,"wide establishing shot, 24mm equivalent, deep focus",cool cyan-blue biotech rim with soft overhead panels,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-WOL-001,BPC-157 / TB-500,https://www.palmbeach-vitality.store/products/wolverine-stack,"FULL LAB SCENE (wide). Environment: chromatography alley with tall columns and solvent cabinets. Camera: wide establishing shot, 24mm equivalent, deep focus. Lighting: cool cyan-blue biotech rim with soft overhead panels. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: BPC-157 / TB-500 (V-WOL-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about BPC-157 / TB-500 (V-WOL-001) and its catalog listing.,Active,11,
LAB-012,lab_scene,Lab environment 12,sample-prep wing with stainless benches and organized glassware walls,elevated three-quarter wide shot of the whole bay,warm-neutral catalog softboxes with clean speculars,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-CAG-001,Cagrilinitide,https://www.palmbeach-vitality.store/products/cargrilinitide,"FULL LAB SCENE (wide). Environment: sample-prep wing with stainless benches and organized glassware walls. Camera: elevated three-quarter wide shot of the whole bay. Lighting: warm-neutral catalog softboxes with clean speculars. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Cagrilinitide (V-CAG-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Cagrilinitide (V-CAG-001) and its catalog listing.,Active,12,
LAB-013,lab_scene,Lab environment 13,stability testing room with climate chambers in repeating rows,dolly-style wide hallway perspective into the lab,"high-key sterile white lighting, minimal shadows",no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-CJC-001,CJC (no DAC),https://www.palmbeach-vitality.store/products/cjc,"FULL LAB SCENE (wide). Environment: stability testing room with climate chambers in repeating rows. Camera: dolly-style wide hallway perspective into the lab. Lighting: high-key sterile white lighting, minimal shadows. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: CJC (no DAC) (V-CJC-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about CJC (no DAC) (V-CJC-001) and its catalog listing.,Active,13,
LAB-014,lab_scene,Lab environment 14,receiving / quarantine lab with labeled totes and barcode stations,architectural wide shot showing ceiling utilities and floor plane,low-key dramatic instrument LEDs with controlled haze,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-CII-001,CJC (no DAC)/Ipamorelin,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,"FULL LAB SCENE (wide). Environment: receiving / quarantine lab with labeled totes and barcode stations. Camera: architectural wide shot showing ceiling utilities and floor plane. Lighting: low-key dramatic instrument LEDs with controlled haze. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: CJC (no DAC)/Ipamorelin (V-CII-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about CJC (no DAC)/Ipamorelin (V-CII-001) and its catalog listing.,Active,14,
LAB-015,lab_scene,Lab environment 15,method-development lab with whiteboards and modular instrument islands,medium-wide environmental shot with product as a small mid-ground element,daylight through clerestory windows plus fill cards,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-GHK-001,GHK-Cu,https://www.palmbeach-vitality.store/products/ghk-cu,"FULL LAB SCENE (wide). Environment: method-development lab with whiteboards and modular instrument islands. Camera: medium-wide environmental shot with product as a small mid-ground element. Lighting: daylight through clerestory windows plus fill cards. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: GHK-Cu (V-GHK-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about GHK-Cu (V-GHK-001) and its catalog listing.,Active,15,
LAB-016,lab_scene,Lab environment 16,lyophilization suite with freeze-dryer banks and vapor ducting,"wide establishing shot, 24mm equivalent, deep focus",cool cyan-blue biotech rim with soft overhead panels,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-GLO-001,BPC-157 / TB-500 / GHK-Cu,https://www.palmbeach-vitality.store/products/glow,"FULL LAB SCENE (wide). Environment: lyophilization suite with freeze-dryer banks and vapor ducting. Camera: wide establishing shot, 24mm equivalent, deep focus. Lighting: cool cyan-blue biotech rim with soft overhead panels. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: BPC-157 / TB-500 / GHK-Cu (V-GLO-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about BPC-157 / TB-500 / GHK-Cu (V-GLO-001) and its catalog listing.,Active,16,
LAB-017,lab_scene,Lab environment 17,fill-finish adjacent staging room with pass-through windows (no people),elevated three-quarter wide shot of the whole bay,warm-neutral catalog softboxes with clean speculars,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-TA1-001,Thymosin Alpha-1,https://www.palmbeach-vitality.store/products/ta-1,"FULL LAB SCENE (wide). Environment: fill-finish adjacent staging room with pass-through windows (no people). Camera: elevated three-quarter wide shot of the whole bay. Lighting: warm-neutral catalog softboxes with clean speculars. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Thymosin Alpha-1 (V-TA1-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Thymosin Alpha-1 (V-TA1-001) and its catalog listing.,Active,17,
LAB-018,lab_scene,Lab environment 18,robotics-assisted assay bay with idle robotic arms over plate hotels,dolly-style wide hallway perspective into the lab,"high-key sterile white lighting, minimal shadows",no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-AOD-001,AOD-9604,https://www.palmbeach-vitality.store/products/aod-9604,"FULL LAB SCENE (wide). Environment: robotics-assisted assay bay with idle robotic arms over plate hotels. Camera: dolly-style wide hallway perspective into the lab. Lighting: high-key sterile white lighting, minimal shadows. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: AOD-9604 (V-AOD-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about AOD-9604 (V-AOD-001) and its catalog listing.,Active,18,
LAB-019,lab_scene,Lab environment 19,optical inspection corridor with softbox lighting and mirror panels,architectural wide shot showing ceiling utilities and floor plane,low-key dramatic instrument LEDs with controlled haze,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-MT2-001,Melanotan 2,https://www.palmbeach-vitality.store/products/melonotan,"FULL LAB SCENE (wide). Environment: optical inspection corridor with softbox lighting and mirror panels. Camera: architectural wide shot showing ceiling utilities and floor plane. Lighting: low-key dramatic instrument LEDs with controlled haze. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Melanotan 2 (V-MT2-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Melanotan 2 (V-MT2-001) and its catalog listing.,Active,19,
LAB-020,lab_scene,Lab environment 20,solvent storage adjacent wet lab with chemical shower niche (empty),medium-wide environmental shot with product as a small mid-ground element,daylight through clerestory windows plus fill cards,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-RET-001,Retatrutide,https://www.palmbeach-vitality.store/products/retatrutide,"FULL LAB SCENE (wide). Environment: solvent storage adjacent wet lab with chemical shower niche (empty). Camera: medium-wide environmental shot with product as a small mid-ground element. Lighting: daylight through clerestory windows plus fill cards. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Retatrutide (V-RET-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Retatrutide (V-RET-001) and its catalog listing.,Active,20,
LAB-021,lab_scene,Lab environment 21,NMR / spectroscopy annex with instrument rooms along a hallway,"wide establishing shot, 24mm equivalent, deep focus",cool cyan-blue biotech rim with soft overhead panels,no product close-up; full laboratory environment; compound identity via on-image typography and optional distant labeled research material on a bench,,V-TIR-001,Tirzepatide,https://www.palmbeach-vitality.store/products/tirzepatide,"FULL LAB SCENE (wide). Environment: NMR / spectroscopy annex with instrument rooms along a hallway. Camera: wide establishing shot, 24mm equivalent, deep focus. Lighting: cool cyan-blue biotech rim with soft overhead panels. Do not crop to a single object. Show the entire research space. Product lock for captions/typography only: Tirzepatide (V-TIR-001). Optional: one distant labeled research unit on a bench — never a macro close-up. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Tirzepatide (V-TIR-001) and its catalog listing.,Active,21,
