compound_id,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes
V-IPA-001,Ipamorelin,GH Pathway Research Peptide,Vial,Ipamorelin laboratory research material — research vial format,In-vitro laboratory research material,Selective ghrelin receptor agonist,Spotlight Hero,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#Ipamorelin #PeptideVials #ResearchPeptides #PalmBeachVitality #LaboratoryResearch,Research use only; no anti-aging cure claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Paused,1,,1,Hero Spotlight,,,,,,,
V-KLO-001,KPV / BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Vial,KPV / BPC-157 / TB-500 / GHK-Cu laboratory research material — research vial format,In-vitro laboratory research material,KPV/BPC-157/TB-500/GHK blend,Mechanism,https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk,#PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — do not split into separate posts; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,2,,1,Mechanism Carousel,,,,,,,
V-MOT-001,MOTS-C,Metabolic Research Peptide,Vial,MOTS-C laboratory research material — research vial format,In-vitro laboratory research material,Mitochondrial-derived peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial,#MOTSC #LongevityResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No lifespan extension claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,3,,1,3-Bullet Benefits,,,,,,,
V-NAD-001,NAD+,Cellular Research Peptide,Vial,NAD+ laboratory research material — research vial format,In-vitro laboratory research material,Nicotinamide adenine dinucleotide,Trust / Quality,https://www.palmbeach-vitality.store/products/nad-1,#NAD #LongevityResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No medical treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,4,,1,Hero Spotlight,,,,,,,
V-PT1-001,PT-141,Hormonal Research Peptide,Vial,PT-141 laboratory research material — research vial format,In-vitro laboratory research material,Melanocortin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/pt-141,#PT141 #PeptideResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Sensitive category — educational tone only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,5,,1,FAQ Slide,,,,,,,
V-SEL-001,Selank,Cognitive Research Peptide,Vial,Selank laboratory research material — research vial format,In-vitro laboratory research material,Synthetic tuftsin analog,Compare,https://www.palmbeach-vitality.store/products/selank,#Selank #NootropicResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No anxiety treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,6,,1,Mechanism Carousel,,,,,,,
V-SER-001,Sermorelin,GH Pathway Research Peptide,Vial,Sermorelin laboratory research material — research vial format,In-vitro laboratory research material,GHRH(1-29) analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/sermorelin,#Sermorelin #PeptideVials #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use language only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,7,,1,Hero Spotlight,,,,,,,
V-SS3-001,SS-31,Mitochondrial Research Peptide,Vial,SS-31 laboratory research material — research vial format,In-vitro laboratory research material,Elamipretide / SS-31 peptide,Mechanism,https://www.palmbeach-vitality.store/products/ss-31,#SS31 #MitochondrialResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No disease treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,8,,1,Mechanism Carousel,,,,,,,
V-TB5-001,TB-500,Research Peptide,Vial,TB-500 laboratory research material — research vial format,In-vitro laboratory research material,Actin-binding peptide research compound,Trust / Quality,https://www.palmbeach-vitality.store/products/tb-500,#TB500 #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Avoid injury cure language,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,9,,1,3-Bullet Benefits,,,,,,,
V-TES-001,Tesamorelin,GH Pathway Research Peptide,Vial,Tesamorelin laboratory research material — research vial format,In-vitro laboratory research material,GHRH analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/tesamorelin,#Tesamorelin #PeptideVials #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,10,,1,Hero Spotlight,,,,,,,
V-TEI-001,Tesamorelin/Ipamorelin,GH Pathway Research Blend,Vial,Tesamorelin/Ipamorelin laboratory research material — research vial format,In-vitro laboratory research material,Tesamorelin + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#Tesamorelin #Ipamorelin #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Vial page not found on site — verify URL when live; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Paused,11,,1,Mechanism Carousel,,,,,,,
V-BPC-001,BPC-157,Research Peptide,Vial,BPC-157 laboratory research material — research vial format,In-vitro laboratory research material,Pentadecapeptide BPC-157,Spotlight Hero,https://www.palmbeach-vitality.store/products/bpc-157,#BPC157 #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Avoid injury cure language,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,12,,1,Hero Spotlight,,,,,,,
V-WOL-001,BPC-157 / TB-500,Multi-compound Research Blend,Vial,BPC-157 / TB-500 laboratory research material — research vial format,In-vitro laboratory research material,BPC-157 + TB-500 blend,Mechanism,https://www.palmbeach-vitality.store/products/wolverine-stack,#BPC157 #TB500 #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,13,,1,Mechanism Carousel,,,,,,,
