"row_id","active","type","id","still","motion","brief","omni"
"BLK-W01","TRUE","body","walking","POSE: mid-stride WALKING toward camera, slight 3/4. One white sneaker stepping forward, one sneaker back. BOTH sneakers firmly on the ground with contact shadows. HARD FAIL hover. Not the master thumbs-up.","walk toward camera slight 3/4, each step plants, talking the whole time","walking mid-stride toward camera","walking toward camera, sneakers planted, talking"
"BLK-W06","TRUE","body","running","POSE: JOGGING toward camera, slight 3/4. Mid-stride, one sneaker forward, one back. BOTH sneakers touching the ground with contact shadows. Athletic lean. Mouth open. HARD FAIL hover. Not thumbs-up.","jog toward camera, each step plants hard, talking the whole time","jogging toward camera, sneakers on the ground","jogging toward camera, planted steps, talking"
"BLK-W07","TRUE","body","dancing","POSE: DANCING two-step / groove in place, slight 3/4. Knees soft, hat brim alive, BOTH sneakers planted on the set with contact shadows. Mouth open mid-word. HARD FAIL hover, moonwalk, floating. Not thumbs-up.","groove and two-step in place while talking, sneakers stay planted, hat brim bounces","dancing in place, sneakers planted","dancing groove in place, planted sneakers, talking"
"BLK-W08","TRUE","body","sports_ready","POSE: athletic SPORTS stance for this set (boxer shuffle, bike pedals, turf bounce, kettlebell aisle coach). BOTH sneakers contact the set. Full body. Mouth open. HARD FAIL hover. Not master thumbs-up. Gloves not a salute.","keep the sport motion of this set while talking: shuffle, pedal, or planted athletic bounce. Sneakers stay on the set","sports motion on this set while talking","sports motion, sneakers on the set, talking"
"BLK-W09","TRUE","body","hiking","POSE: HIKING mid-stride on trail dirt or rock, slight 3/4 toward camera. One sneaker forward uphill. BOTH sneakers on the ground with contact shadows. Mouth open. HARD FAIL hover.","hike toward camera, planted trail steps, talking the whole time","hiking toward camera","hiking, planted steps, talking"
"BLK-W02","FALSE","body","sitting","POSE: SITTING on a set perch. Seat and sneakers contact the set. HARD FAIL hovering.","stay seated, talk","sitting (inactive for weekly social)","sitting"
"BLK-W03","FALSE","body","standing","POSE: STANDING at ease. HARD FAIL hover.","stand in place, sway, talk","standing (inactive — boring for social)","standing still talking"
"BLK-W04","FALSE","body","stopping","POSE: STOPPING mid-walk.","two steps then stop, talk","stopping (inactive)","stopping"
"BLK-W05","FALSE","body","turning","POSE: TURNING toward camera.","turn, settle, talk","turning (inactive)","turning"
"BLK-G03","TRUE","gesture","walk_swing","HANDS: both white gloves in a natural walk or jog swing at hip height. Neither hand raised. NO thumbs-up.","both gloves swing at hip height while talking","walk swing","walk/jog swing at hip height"
"BLK-G09","TRUE","gesture","dance_groove","HANDS: white gloves groove at hip-to-chest height, small musical bounce. Not above the brim. NO thumbs-up. NO salute.","gloves groove with the dance, stay close to the body","dance groove","gloves groove at hip height"
"BLK-G10","TRUE","gesture","sport_guard","HANDS: athletic guard at chest, or on handlebars/hips for the sport. Never a thumbs-up. Never a high wave.","keep a compact sport guard while talking","sport guard","compact athletic guard, no thumbs-up"
"BLK-G04","TRUE","gesture","hip_rest","HANDS: one white glove on a hip, the other hangs relaxed. NO thumbs-up.","one glove on hip, other punctuates speech","hip rest","one glove on hip"
"BLK-G01","FALSE","gesture","present_label","HANDS: present 10ml label.","present label","present label (inactive)","present"
"BLK-G02","FALSE","gesture","point_10ml","HANDS: point at 10ml.","point","point (inactive — weird OmniHuman arms)","point"
"BLK-G05","FALSE","gesture","count_fingers","HANDS: count.","count","count (inactive)","count"
"BLK-G06","FALSE","gesture","low_wave","HANDS: low wave.","wave","wave (inactive)","wave"
"BLK-G07","TRUE","gesture","palms_out","HANDS: both palms out at waist, friendly present of the vial body. NO thumbs-up.","palms-out present, then relax into the motion","palms out","palms-out present"
"BLK-G08","TRUE","gesture","label_glance","HANDS: one glove taps or frames the 10ml label. Other glove down. NO thumbs-up.","tap the 10ml label once, keep the body moving","label glance","tap 10ml, keep moving"
"BLK-A01","TRUE","angle","slight 3/4 screen-right","ANGLE: slight 3/4 screen-right.","camera holds slight 3/4 screen-right","slight 3/4 screen-right","slight 3/4 screen-right"
"BLK-A02","TRUE","angle","slight 3/4 screen-left","ANGLE: slight 3/4 screen-left.","camera holds slight 3/4 screen-left","slight 3/4 screen-left","slight 3/4 screen-left"
"BLK-A03","TRUE","angle","eye-level front 3/4","ANGLE: eye-level front 3/4.","camera holds eye-level front 3/4","eye-level front 3/4","eye-level front 3/4"
"BLK-A05","TRUE","angle","low-angle hero","ANGLE: low-angle hero, Pep looks tall in 9:16.","camera holds low-angle hero","low-angle hero","low-angle hero"
