compound_id,source_sheet,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes
P-5AM-001,1-compounds-pens,5-Amino-1MQ,Metabolic Research Peptide,Pen,5-Amino-1MQ laboratory research material — pre-filled research format,In-vitro laboratory research material,NNMT inhibitor research compound,Mechanism,https://www.palmbeach-vitality.store/products/5-amino-mq-pen,#5AminoMQ #PeptidePen #LongevityResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen-only product,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,1,,1,Mechanism Carousel,,,,,,,
V-AOD-001,1-compounds-vials,AOD-9604,Incretin Pathway Research Peptide,Vial,AOD-9604 laboratory research material — research vial format,In-vitro laboratory research material,GH fragment 176-191 analog,FAQ,https://www.palmbeach-vitality.store/products/aod-9604,#AOD9604 #MetabolicResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No weight-loss guarantees,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,2,,1,FAQ Slide,,,,,,,
P-BPC-001,1-compounds-pens,BPC-157,Research Peptide,Pen,BPC-157 laboratory research material — pre-filled research format,In-vitro laboratory research material,Pentadecapeptide BPC-157,Spotlight Hero,https://www.palmbeach-vitality.store/products/bpc-157-pen,#BPC157 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Avoid injury cure language,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,3,2026-07-27,1,Hero Spotlight,,,,,,, | Smoke-tested in n8n Buffer 2026-07-27
V-BPC-001,1-compounds-vials,BPC-157,Research Peptide,Vial,BPC-157 laboratory research material — research vial format,In-vitro laboratory research material,Pentadecapeptide BPC-157,Spotlight Hero,https://www.palmbeach-vitality.store/products/bpc-157,#BPC157 #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Avoid injury cure language,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,4,,1,Hero Spotlight,,,,,,,
P-WOL-001,1-compounds-pens,BPC-157 / TB-500,Multi-compound Research Blend,Pen,BPC-157 / TB-500 laboratory research material — pre-filled research format,In-vitro laboratory research material,BPC-157 + TB-500 blend,Mechanism,https://www.palmbeach-vitality.store/products/wolverine-pen,#BPC157 #TB500 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,5,,1,Mechanism Carousel,,,,,,,
V-WOL-001,1-compounds-vials,BPC-157 / TB-500,Multi-compound Research Blend,Vial,BPC-157 / TB-500 laboratory research material — research vial format,In-vitro laboratory research material,BPC-157 + TB-500 blend,Mechanism,https://www.palmbeach-vitality.store/products/wolverine-stack,#BPC157 #TB500 #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,6,,1,Mechanism Carousel,,,,,,,
P-GLO-001,1-compounds-pens,BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Pen,BPC-157 / TB-500 / GHK-Cu laboratory research material — pre-filled research format,In-vitro laboratory research material,BPC-157 + TB-500 + GHK-Cu research blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/glow-pen,#PeptidePen #PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,7,,1,Hero Spotlight,,,,,,,
V-GLO-001,1-compounds-vials,BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Vial,BPC-157 / TB-500 / GHK-Cu laboratory research material — research vial format,In-vitro laboratory research material,BPC-157 + TB-500 + GHK-Cu research blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/glow,#PeptideBlend #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,8,,1,Hero Spotlight,,,,,,,
V-CAG-001,1-compounds-vials,Cagrilinitide,Incretin Pathway Research Peptide,Vial,Cagrilinitide laboratory research material — research vial format,In-vitro laboratory research material,Amylin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/cargrilinitide,#Cagrilinitide #MetabolicResearch #PeptideVials #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Site slug uses cargrilinitide spelling,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,9,,1,FAQ Slide,,,,,,,
V-CJC-001,1-compounds-vials,CJC (no DAC),GH Pathway Research Peptide,Vial,CJC (no DAC) laboratory research material — research vial format,In-vitro laboratory research material,GHRH analog (no DAC),Mechanism,https://www.palmbeach-vitality.store/products/cjc,#CJC1295 #PeptideVials #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,10,,1,Mechanism Carousel,,,,,,,
