"creation_id","rank","category","material_detail","compound_id","compound_name","canonical_url","caption_lock","shot_family","camera_angle","camera_direction","framing","scene_brief","quality_var_count","quality_suffix","aspect_ratio","duration_seconds","resolution","model_still","model_video","still_resolution","video_prompt","video_motion_prompt","status","times_used","last_used_at","reel_still_url","video_url","surface","lighting","camera_move","color_grade","hero_style","source_id","vibe","theme","workflow","voice_over","product_description"
"PEP-001","1","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-BPC-001","BPC-157","https://www.palmbeach-vitality.store/products/bpc-157","Captions MUST be only about BPC-157 (V-BPC-001) and https://www.palmbeach-vitality.store/products/bpc-157. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","eye-level","front","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep walks mid-ground on this unique set: Sunlit wooden boardwalk with ocean horizon, palm shadows, and weathered planks underfoot. Action: walking this sunlit wooden boardwalk toward camera, sneakers planting every step. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Coastal. Theme: Beach & Ocean. Product lock: BPC-157 (V-BPC-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","boardwalk-walk","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep walking this sunlit wooden boardwalk toward camera, sneakers planting every step. Unique set: Sunlit wooden boardwalk with ocean horizon, palm shadows, and weathered planks underfoot. He talks the whole clip. Camera: follow-walk handheld energy, low-angle hero. Lighting: warm coastal key with soft sky fill. No humans. No hospitals. No new text. No thumbs-up.","follow-walk handheld energy, low-angle hero; Pep walking this sunlit wooden boardwalk toward camera, sneakers planting every step; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Sunlit wooden boardwalk with ocean horizon, palm shadows, and weathered planks underfoot","warm coastal key with soft sky fill","follow-walk handheld energy, low-angle hero","sunlit coastal grade, soft aqua highlights","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring BPC-157; never black twist/screw cap; full body; no humans","P20-1","Coastal","Beach & Ocean","vid_gen_palm_beach_pep","Don't scroll. I'm Palm Beach Pep, walking this boardwalk. BPC-157 is a short chain from a gut protein. Labs study it as a local repair signal for lining and tendon. Studies have shown BPC-157 has been beneficial to gut lining and tendon-repair research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","BPC-157 research vial. 10mL sterile crimp-seal format."
"PEP-002","2","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-TB5-001","TB-500","https://www.palmbeach-vitality.store/products/tb-500","Captions MUST be only about TB-500 (V-TB5-001) and https://www.palmbeach-vitality.store/products/tb-500. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","low-angle","front","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep jogs mid-ground on this unique set: Outdoor turf sprint lane with soft stadium lights and empty hash marks. Action: jogging the turf sprint lane toward camera, sneakers planting, talking the whole time. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Powerful. Theme: Resilience & Strength. Product lock: TB-500 (V-TB5-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","turf-jog","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep jogging the turf sprint lane toward camera, sneakers planting, talking the whole time. Unique set: Outdoor turf sprint lane with soft stadium lights and empty hash marks. He talks the whole clip. Camera: tracking jog toward camera, slight handheld shake. Lighting: strong key with defined rim. No humans. No hospitals. No new text. No thumbs-up.","tracking jog toward camera, slight handheld shake; Pep jogging the turf sprint lane toward camera, sneakers planting, talking the whole time; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Outdoor turf sprint lane with soft stadium lights and empty hash marks","strong key with defined rim","tracking jog toward camera, slight handheld shake","crisp athletic grade, cool turf greens","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring TB-500; never black twist/screw cap; full body; no humans","P20-2","Powerful","Resilience & Strength","vid_gen_palm_beach_pep","Don't scroll. I'm Palm Beach Pep, jogging this turf. TB-500 is a piece of thymosin beta-4. Labs study how it helps cells crawl into a repair zone, not as a stimulant. Studies have shown TB-500 has been beneficial to cell-migration and recovery research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","TB-500 research vial for laboratory research."
"PEP-003","3","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-GHK-001","GHK-Cu","https://www.palmbeach-vitality.store/products/ghk-cu","Captions MUST be only about GHK-Cu (V-GHK-001) and https://www.palmbeach-vitality.store/products/ghk-cu. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","eye-level","slight-right","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep dances mid-ground on this unique set: Cherry-blossom path with petals in the air and warm dusk lanterns. Action: two-step dancing in place under drifting petals, sneakers planted, hat brim bouncing, talking. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Warm. Theme: Nature Regeneration. Product lock: GHK-Cu (V-GHK-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","blossom-dance","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep two-step dancing in place under drifting petals, sneakers planted, hat brim bouncing, talking. Unique set: Cherry-blossom path with petals in the air and warm dusk lanterns. He talks the whole clip. Camera: slow orbit while he grooves, stay mid-ground. Lighting: warm golden key, soft fill. No humans. No hospitals. No new text. No thumbs-up.","slow orbit while he grooves, stay mid-ground; Pep two-step dancing in place under drifting petals, sneakers planted, hat brim bouncing, talking; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Cherry-blossom path with petals in the air and warm dusk lanterns","warm golden key, soft fill","slow orbit while he grooves, stay mid-ground","warm honey grade, pink petal highlights","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring GHK-Cu; never black twist/screw cap; full body; no humans","P20-3","Warm","Nature Regeneration","vid_gen_palm_beach_pep","Hat bouncing — I'm Palm Beach Pep, dancing this path. GHK-Cu is three amino acids holding a copper ion. Labs study it for collagen talk in skin and connective tissue. Studies have shown GHK-Cu has been beneficial to collagen remodeling and skin-repair research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","GHK-Cu copper-tripeptide research vial."
"PEP-004","4","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-SEM-001","Semaglutide","https://www.palmbeach-vitality.store/products/semaglutide","Captions MUST be only about Semaglutide (V-SEM-001) and https://www.palmbeach-vitality.store/products/semaglutide. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","eye-level","slight-left","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep walks mid-ground on this unique set: Coastal bike path with sea oats, railing, and breeze-bent grasses. Action: power-walking the coastal bike path toward camera, gloves swinging, talking. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Fresh. Theme: Fat Loss & Metabolism. Product lock: Semaglutide (V-SEM-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","bikepath-walk","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep power-walking the coastal bike path toward camera, gloves swinging, talking. Unique set: Coastal bike path with sea oats, railing, and breeze-bent grasses. He talks the whole clip. Camera: follow-walk along the path, ocean in the deep background. Lighting: warm coastal key with soft sky fill. No humans. No hospitals. No new text. No thumbs-up.","follow-walk along the path, ocean in the deep background; Pep power-walking the coastal bike path toward camera, gloves swinging, talking; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Coastal bike path with sea oats, railing, and breeze-bent grasses","warm coastal key with soft sky fill","follow-walk along the path, ocean in the deep background","bright coastal grade, clean contrast","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring Semaglutide; never black twist/screw cap; full body; no humans","P20-4","Fresh","Fat Loss & Metabolism","vid_gen_palm_beach_pep","Keep up. I'm Palm Beach Pep, on this bike path. Semaglutide copies the meal hormone GLP-1. After food it helps insulin when sugar is high and slows emptying. Studies have shown Semaglutide has been beneficial to appetite and metabolic-marker research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","Semaglutide research vial."
"PEP-005","5","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-TIR-001","Tirzepatide","https://www.palmbeach-vitality.store/products/tirzepatide","Captions MUST be only about Tirzepatide (V-TIR-001) and https://www.palmbeach-vitality.store/products/tirzepatide. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","low-angle","front","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep walks mid-ground on this unique set: Wild coast sea-stack overlook with crashing whitewater and open sky. Action: striding a wild-coast overlook toward camera, wind on the hat brim, talking. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Epic. Theme: Beach & Ocean. Product lock: Tirzepatide (V-TIR-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","seastack-walk","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep striding a wild-coast overlook toward camera, wind on the hat brim, talking. Unique set: Wild coast sea-stack overlook with crashing whitewater and open sky. He talks the whole clip. Camera: hero low-angle follow-walk, horizon hold. Lighting: hard clean key with soft fill. No humans. No hospitals. No new text. No thumbs-up.","hero low-angle follow-walk, horizon hold; Pep striding a wild-coast overlook toward camera, wind on the hat brim, talking; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Wild coast sea-stack overlook with crashing whitewater and open sky","hard clean key with soft fill","hero low-angle follow-walk, horizon hold","dramatic coastal grade, deep blues","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring Tirzepatide; never black twist/screw cap; full body; no humans","P20-5","Epic","Beach & Ocean","vid_gen_palm_beach_pep","Big water, bigger walk. I'm Palm Beach Pep. Tirzepatide talks to two meal-hormone receptors, GIP and GLP-1. One molecule, two knocks, studied for insulin and appetite. Studies have shown Tirzepatide has been beneficial to dual-incretin metabolic research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","Tirzepatide research vial."
"PEP-006","6","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-RET-001","Retatrutide","https://www.palmbeach-vitality.store/products/retatrutide","Captions MUST be only about Retatrutide (V-RET-001) and https://www.palmbeach-vitality.store/products/retatrutide. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","low-angle","slight-right","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep hikes mid-ground on this unique set: Cliffside hiking trail with ocean far below and wind-bent grasses. Action: hiking the cliff trail toward camera, planted steps on dirt, talking. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Epic. Theme: Mountains. Product lock: Retatrutide (V-RET-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","cliff-hike","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep hiking the cliff trail toward camera, planted steps on dirt, talking. Unique set: Cliffside hiking trail with ocean far below and wind-bent grasses. He talks the whole clip. Camera: tracking hike, slight handheld, stay full body. Lighting: bright even key, soft white bounce. No humans. No hospitals. No new text. No thumbs-up.","tracking hike, slight handheld, stay full body; Pep hiking the cliff trail toward camera, planted steps on dirt, talking; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Cliffside hiking trail with ocean far below and wind-bent grasses","bright even key, soft white bounce","tracking hike, slight handheld, stay full body","open-air grade, warm rock and cool water","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring Retatrutide; never black twist/screw cap; full body; no humans","P20-6","Epic","Mountains","vid_gen_palm_beach_pep","Trail dust. I'm Palm Beach Pep, hiking this cliff. Retatrutide talks to three receptors: GIP, GLP-1, and glucagon. Two say the meal arrived. The third is studied for energy spend. Studies have shown Retatrutide has been beneficial to triple-agonist metabolic research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","Retatrutide research vial."
"PEP-007","7","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-AOD-001","AOD-9604","https://www.palmbeach-vitality.store/products/aod-9604","Captions MUST be only about AOD-9604 (V-AOD-001) and https://www.palmbeach-vitality.store/products/aod-9604. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","eye-level","front","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep jogs mid-ground on this unique set: Outdoor fitness park under coastal morning light with empty bars and rubber chips. Action: easy jogging the outdoor fitness park toward camera, sneakers on rubber, talking. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Bright. Theme: Fat Loss & Metabolism. Product lock: AOD-9604 (V-AOD-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","fitpark-jog","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep easy jogging the outdoor fitness park toward camera, sneakers on rubber, talking. Unique set: Outdoor fitness park under coastal morning light with empty bars and rubber chips. He talks the whole clip. Camera: jog-follow, bright and punchy. Lighting: high-key soft daylight. No humans. No hospitals. No new text. No thumbs-up.","jog-follow, bright and punchy; Pep easy jogging the outdoor fitness park toward camera, sneakers on rubber, talking; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Outdoor fitness park under coastal morning light with empty bars and rubber chips","high-key soft daylight","jog-follow, bright and punchy","clean daylight grade, warm wood and rubber","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring AOD-9604; never black twist/screw cap; full body; no humans","P20-7","Bright","Fat Loss & Metabolism","vid_gen_palm_beach_pep","Morning miles. I'm Palm Beach Pep, jogging this park. AOD-9604 is a tiny tail-piece of growth hormone. Labs study the fat-breakdown note, not the whole hormone orchestra. Studies have shown AOD-9604 has been beneficial to fat-metabolism and lipolysis research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","AOD-9604 research vial."
"PEP-008","8","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","P-SMX-001","Semax","https://www.palmbeach-vitality.store/products/semax-pen","Captions MUST be only about Semax (P-SMX-001) and https://www.palmbeach-vitality.store/products/semax-pen. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","eye-level","slight-left","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep walks mid-ground on this unique set: Meadow boardwalk through tall wildflowers with a wide bright sky. Action: brisk walking a meadow boardwalk through wildflowers, talking to camera. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Bright. Theme: Focus & Clarity. Product lock: Semax (P-SMX-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","meadow-walk","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep brisk walking a meadow boardwalk through wildflowers, talking to camera. Unique set: Meadow boardwalk through tall wildflowers with a wide bright sky. He talks the whole clip. Camera: forward walk through flowers, slight sway. Lighting: airy soft key, gentle rim. No humans. No hospitals. No new text. No thumbs-up.","forward walk through flowers, slight sway; Pep brisk walking a meadow boardwalk through wildflowers, talking to camera; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Meadow boardwalk through tall wildflowers with a wide bright sky","airy soft key, gentle rim","forward walk through flowers, slight sway","pastoral grade, saturated blooms","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring Semax; never black twist/screw cap; full body; no humans","P20-8","Bright","Focus & Clarity","vid_gen_palm_beach_pep","Lights on. I'm Palm Beach Pep, walking this meadow. Semax is an ACTH-fragment analog. Labs study BDNF talk — the brain's learning signal — not caffeine and not amphetamine. Studies have shown Semax has been beneficial to BDNF and cognitive-research endpoints in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","Semax research product."
"PEP-009","9","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-SEL-001","Selank","https://www.palmbeach-vitality.store/products/selank","Captions MUST be only about Selank (V-SEL-001) and https://www.palmbeach-vitality.store/products/selank. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","eye-level","slight-right","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep dances mid-ground on this unique set: Sunrise yoga deck over calm water with long warm reflections. Action: gentle groove dancing on a sunrise yoga deck, sneakers planted, talking. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Zen. Theme: Focus & Clarity. Product lock: Selank (V-SEL-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","yoga-groove","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep gentle groove dancing on a sunrise yoga deck, sneakers planted, talking. Unique set: Sunrise yoga deck over calm water with long warm reflections. He talks the whole clip. Camera: slow side drift while he grooves in place. Lighting: warm golden key, soft fill. No humans. No hospitals. No new text. No thumbs-up.","slow side drift while he grooves in place; Pep gentle groove dancing on a sunrise yoga deck, sneakers planted, talking; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Sunrise yoga deck over calm water with long warm reflections","warm golden key, soft fill","slow side drift while he grooves in place","golden hour grade, soft water highlights","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring Selank; never black twist/screw cap; full body; no humans","P20-9","Zen","Focus & Clarity","vid_gen_palm_beach_pep","Easy groove. I'm Palm Beach Pep, on this deck. Selank is a tuftsin analog. Labs study the brain's calm-down GABA conversation, not a knockout sedative. Studies have shown Selank has been beneficial to calm-focus and GABA-pathway research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","Selank research vial."
"PEP-010","10","vial_10ml","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap); Palm Beach Pep mascot form","V-IPA-001","Ipamorelin","https://www.palmbeach-vitality.store/products/cjc-ipamorelin","Captions MUST be only about Ipamorelin (V-IPA-001) and https://www.palmbeach-vitality.store/products/cjc-ipamorelin. Include research-use-only framing. No disease, treatment, or human-use claims. No nicknames.","pep_mascot","eye-level","front","9:16 vertical Pep-mascot framing, mid-ground hero, full body, full scene depth","9:16 vertical Pep social clip. Palm Beach Pep walks mid-ground on this unique set: Boutique gym weight floor with daylight from high windows and a soft-focus dumbbell rack. Action: walking the boutique gym floor toward camera past a soft-focus dumbbell rack, talking. Full body visible. Mouth open mid-word. No people. No medical settings. Vibe: Powerful. Theme: Resilience & Strength. Product lock: Ipamorelin (V-IPA-001). Keep Pep identical to master. Type on the label is exactly 10ml. HARD FAIL hover, thumbs-up, 10mlz.","1","gym-walk","9:16","30","1080p","grok-imagine-image","fal-omnihuman-v1.5","1k","Animate this 9:16 still. Palm Beach Pep walking the boutique gym floor toward camera past a soft-focus dumbbell rack, talking. Unique set: Boutique gym weight floor with daylight from high windows and a soft-focus dumbbell rack. He talks the whole clip. Camera: walk-and-talk down the aisle, racks stay background. Lighting: bright even key, soft white bounce. No humans. No hospitals. No new text. No thumbs-up.","walk-and-talk down the aisle, racks stay background; Pep walking the boutique gym floor toward camera past a soft-focus dumbbell rack, talking; preserve Pep identity; sneakers stay on the set; talking mouth the whole clip; no thumbs-up; no new text; no humans","Active","0","","","","Boutique gym weight floor with daylight from high windows and a soft-focus dumbbell rack","bright even key, soft white bounce","walk-and-talk down the aisle, racks stay background","clean athletic grade, warm wood and iron","Palm Beach Pep (10mL crimp-seal vial mascot) mid-ground featuring Ipamorelin; never black twist/screw cap; full body; no humans","P20-10","Powerful","Resilience & Strength","vid_gen_palm_beach_pep","Gym lights up. I'm Palm Beach Pep, walking this floor. Ipamorelin knocks the ghrelin receptor and asks for a short growth-hormone pulse. Quieter than older GHRPs. Not a steroid. Studies have shown Ipamorelin has been beneficial to selective growth-hormone pulse research in recent research studies. Palm Beach Vitality research peptides are backed by a COA with every single order, American made delivering >99% purity 100% of the time. Visit us at palmbeach-vitality.store.","Ipamorelin research vial."
