page_url,page_title,compound_id,is_canonical,sku_notes
https://www.palmbeach-vitality.store/products/klow-pen,KPV/BPC-157/TB-500/GHK-Cu 3mL Pen,P-KLO-001,Y,10/10/10/50mg
https://www.palmbeach-vitality.store/products/mots-c,MOTS-C 20mg 3mL Pen,P-MOT-001,Y,Verify listing is pen not vial
https://www.palmbeach-vitality.store/products/nad-pen-500mg,NAD+ 500mg 3mL Pen,P-NAD-001,Y,
https://www.palmbeach-vitality.store/products/nad-500mg,NAD+ 500mg,P-NAD-001,N,Alternate listing
https://www.palmbeach-vitality.store/products/pt-141-pen,PT-141 10mg 3mL Pen,P-PT1-001,Y,
https://www.palmbeach-vitality.store/products/semax-pen,SEMAX 20mg Pen,P-SMX-001,Y,
https://www.palmbeach-vitality.store/products/semax,Semax,P-SMX-001,N,Vial listing if separate
https://www.palmbeach-vitality.store/products/selank-pen,Selank 20mg 3mL Pen,P-SEL-001,Y,
https://www.palmbeach-vitality.store/products/sermorelin-pen,Sermorelin 10mg 3mL Pen,P-SER-001,Y,
https://www.palmbeach-vitality.store/products/ta-2,TA-1 10mg 3mL Pen,P-TA1-001,Y,Verify ta-2 is pen listing
https://www.palmbeach-vitality.store/products/ta-1,TA-1,P-TA1-001,N,Vial listing
https://www.palmbeach-vitality.store/products/tesamorelin-10mg-pen,Tesamorelin 10mg 3mL Pen,P-TES-001,N,
https://www.palmbeach-vitality.store/products/tesamorelin-30mg-pen,Tesamorelin 30mg 3mL Pen,P-TES-001,Y,Canonical pen link
https://www.palmbeach-vitality.store/products/tesamorelin-ipamorelin-pen,Tesamorelin/Ipamorelin 12mg/3mg Pen,P-TEI-001,Y,
https://www.palmbeach-vitality.store/products/bpc-157-pen,BPC-157 20mg 3mL Pen,P-BPC-001,Y,
https://www.palmbeach-vitality.store/products/wolverine-pen,BPC-157/TB-500 BPC-157/TB-500 3mL Pen,P-WOL-001,Y,10mg/10mg
https://www.palmbeach-vitality.store/products/cjc-ipamorelin-1,CJC/Ipamorelin 10/10mg 3mL Pen,P-CII-001,Y,
https://www.palmbeach-vitality.store/products/dsip-pen,DSIP 5mg 3mL Pen,P-DSI-001,Y,
https://www.palmbeach-vitality.store/products/ghk-cu-pen,GHK-Cu 50mg 3mL Pen,P-GHK-001,Y,
https://www.palmbeach-vitality.store/products/5-amino-mq-pen,5 AMINO MQ 50mg Pen,P-5AM-001,Y,
https://www.palmbeach-vitality.store/products/glow-pen,BPC-157/TB-500/GHK-Cu 10/10/50mg 3mL Pen,P-GLO-001,Y,
https://www.palmbeach-vitality.store/products/ss-31-pen,SS-31 50mg Pen,P-SS3-001,Y,
https://www.palmbeach-vitality.store/products/kpv,KPV 10mg Pen,P-KPV-001,Y,
https://www.palmbeach-vitality.store/products/semaglutide-1-5mg-pen,Semaglutide Pen Month 1 1.5mg,P-SEM-001,Y,Program entry point
https://www.palmbeach-vitality.store/products/semaglutide-3-5mg-pen,Semaglutide Pen Month 2 3.5mg,P-SEM-001,N,
https://www.palmbeach-vitality.store/products/semaglutide-5-5mg-pen,Semaglutide Pen Month 3 5.5mg,P-SEM-001,N,
https://www.palmbeach-vitality.store/products/semaglutide-7-5mg-pen,Semaglutide Pen Month 4 7.5mg,P-SEM-001,N,
https://www.palmbeach-vitality.store/products/semaglutide-10mg-pen,Semaglutide Pen Month 5 10mg,P-SEM-001,N,
https://www.palmbeach-vitality.store/products/semaglutide-15mg-pen,Semaglutide Pen Month 6 15mg,P-SEM-001,N,
https://www.palmbeach-vitality.store/products/tirzepatide-10mg-pen,Tirzepatide Pen 10mg,P-TIR-001,Y,Program entry point
https://www.palmbeach-vitality.store/products/tirzepatide-20mg-pen,Tirzepatide Pen 20mg,P-TIR-001,N,
https://www.palmbeach-vitality.store/products/tirzepatide-30mg-pen,Tirzepatide Pen 30mg,P-TIR-001,N,
https://www.palmbeach-vitality.store/products/tirzepatide-40mg-pen,Tirzepatide Pen 40mg,P-TIR-001,N,
https://www.palmbeach-vitality.store/products/tirzepatide-50mg-pen,Tirzepatide Pen 50mg,P-TIR-001,N,
https://www.palmbeach-vitality.store/products/tirzepatide-40mg-pen-copy,Tirzepatide Pen 60mg,P-TIR-001,N,Shopify duplicate slug
https://www.palmbeach-vitality.store/products/retatrutride-8mg-pen,Retatrutide Pen 8mg,P-RET-001,Y,Site slug typo retatrutride
https://www.palmbeach-vitality.store/products/retatrutride-16mg-pen,Retatrutide Pen 16mg,P-RET-001,N,
https://www.palmbeach-vitality.store/products/retatrutride-24mg-pen,Retatrutide Pen 24mg,P-RET-001,N,
https://www.palmbeach-vitality.store/products/retatrutride-32mg-pen,Retatrutide Pen 32mg,P-RET-001,N,
https://www.palmbeach-vitality.store/products/retatrutride-40mg-pen,Retatrutide Pen 40mg,P-RET-001,N,
