page_url,page_title,compound_id,is_canonical,sku_notes
https://www.palmbeach-vitality.store/products/bpc-157,BPC-157 10mg,V-BPC-001,Y,10mL Vial 10mg
https://www.palmbeach-vitality.store/products/bpc-157-20mg,BPC-157 20mg,V-BPC-001,N,10mL Vial 20mg
https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk,KPV/BPC-157/TB-500/GHK-Cu 10mL Vial,V-KLO-001,Y,10/10/10/50mg
https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial,MOTS-C 5mL Vial 10mg,V-MOT-001,Y,
https://www.palmbeach-vitality.store/products/mots-c,MOTS-C,V-MOT-001,N,Verify if 25mg vial listing
https://www.palmbeach-vitality.store/products/nad-1,NAD+ 10mL Vial 1000mg,V-NAD-001,Y,100mg/mL
https://www.palmbeach-vitality.store/products/pt-141,PT-141 10mL Vial 20mg,V-PT1-001,Y,2mg/mL
https://www.palmbeach-vitality.store/products/selank,Selank 10mL Vial 10mg,V-SEL-001,Y,1mg/mL
https://www.palmbeach-vitality.store/products/sermorelin,Sermorelin 10mL Vial 20mg,V-SER-001,Y,2mg/mL
https://www.palmbeach-vitality.store/products/ss-31,SS-31 10mL Vial 10mg,V-SS3-001,Y,1mg/mL
https://www.palmbeach-vitality.store/products/tb-500,TB-500 10mL Vial 10mg,V-TB5-001,Y,1mg/mL
https://www.palmbeach-vitality.store/products/tesamorelin,Tesamorelin 10mL Vial 30mg,V-TES-001,Y,3mg/mL
https://www.palmbeach-vitality.store/products/wolverine-stack,BPC-157/TB-500 BPC-157/TB-500 10mL Vial,V-WOL-001,Y,10mg/10mg
https://www.palmbeach-vitality.store/products/cargrilinitide,Cagrilinitide 5mL Vial 25mg,V-CAG-001,Y,5mg/mL
https://www.palmbeach-vitality.store/products/cjc,CJC (no DAC) 10mL Vial,V-CJC-001,Y,10mg/mL
https://www.palmbeach-vitality.store/products/cjc-ipamorelin,CJC/Ipamorelin 10mL Vial,V-CII-001,Y,10mg/10mg — also used for Ipamorelin placeholder
https://www.palmbeach-vitality.store/products/ghk-cu,GHK-Cu 10mL Vial 50mg,V-GHK-001,Y,10mg/mL
https://www.palmbeach-vitality.store/products/glow,BPC-157/TB-500/GHK-Cu 10/10/50mg Vial,V-GLO-001,Y,
https://www.palmbeach-vitality.store/products/ta-1,TA-1 10mg Vial,V-TA1-001,Y,
https://www.palmbeach-vitality.store/products/aod-9604,AOD-9604 10mg/10mL Vial,V-AOD-001,Y,
https://www.palmbeach-vitality.store/products/melonotan,Melanotan 2 10mg/10mL Vial,V-MT2-001,Y,
https://www.palmbeach-vitality.store/products/retatrutide,Retatrutide 60mg Vial,V-RET-001,Y,Base listing
https://www.palmbeach-vitality.store/products/retatrutide-100mg,Retatrutide 100mg Vial,V-RET-001,N,
https://www.palmbeach-vitality.store/products/retatrutide-200mg,Retatrutide 200mg Vial,V-RET-001,N,
https://www.palmbeach-vitality.store/products/tirzepatide,Tirzepatide 100mg/10mL,V-TIR-001,Y,
https://www.palmbeach-vitality.store/products/tirzepatide-200mg,Tirzepatide 200mg/10mL,V-TIR-001,N,
https://www.palmbeach-vitality.store/products/semaglutide,Semaglutide 25mg/10mL,V-SEM-001,Y,
https://www.palmbeach-vitality.store/products/semaglutide-50mg,Semaglutide 50mg/10mL,V-SEM-001,N,
