compound_id,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes
P-KLO-001,KPV / BPC-157 / TB-500 / GHK-Cu,Multi-compound Research Blend,Pen,KPV / BPC-157 / TB-500 / GHK-Cu laboratory research material — pre-filled research format,In-vitro laboratory research material,KPV/BPC-157/TB-500/GHK blend,Spotlight Hero,https://www.palmbeach-vitality.store/products/klow-pen,#PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Blend spotlight — one post only; Blend spotlight — chemical names only; do not use nicknames,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,1,,1,Hero Spotlight,,,,,,,
P-MOT-001,MOTS-C,Metabolic Research Peptide,Pen,MOTS-C laboratory research material — pre-filled research format,In-vitro laboratory research material,Mitochondrial-derived peptide,Mechanism,https://www.palmbeach-vitality.store/products/mots-c,#MOTSC #PeptidePen #LongevityResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Verify this is the pen listing,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,2,,1,Mechanism Carousel,,,,,,,
P-NAD-001,NAD+,Cellular Research Peptide,Pen,NAD+ laboratory research material — pre-filled research format,In-vitro laboratory research material,Nicotinamide adenine dinucleotide,Trust / Quality,https://www.palmbeach-vitality.store/products/nad-pen-500mg,#NAD #PeptidePen #LongevityResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Also maps nad-500mg,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,3,,1,3-Bullet Benefits,,,,,,,
P-PT1-001,PT-141,Hormonal Research Peptide,Pen,PT-141 laboratory research material — pre-filled research format,In-vitro laboratory research material,Melanocortin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/pt-141-pen,#PT141 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Sensitive category — educational tone only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,4,,1,FAQ Slide,,,,,,,
P-SMX-001,Semax,Cognitive Research Peptide,Pen,Semax laboratory research material — pre-filled research format,In-vitro laboratory research material,ACTH(4-10) analog,Compare,https://www.palmbeach-vitality.store/products/semax-pen,#Semax #NootropicResearch #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen-only product,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,5,,1,Mechanism Carousel,,,,,,,
P-SEL-001,Selank,Cognitive Research Peptide,Pen,Selank laboratory research material — pre-filled research format,In-vitro laboratory research material,Synthetic tuftsin analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/selank-pen,#Selank #NootropicResearch #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,No anxiety treatment claims,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,6,,1,Hero Spotlight,,,,,,,
P-SER-001,Sermorelin,GH Pathway Research Peptide,Pen,Sermorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,GHRH(1-29) analog,Mechanism,https://www.palmbeach-vitality.store/products/sermorelin-pen,#Sermorelin #PeptidePen #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Research use only,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,7,,1,Mechanism Carousel,,,,,,,
P-TA1-001,Thymosin Alpha-1,Immune Research Peptide,Pen,Thymosin Alpha-1 laboratory research material — pre-filled research format,In-vitro laboratory research material,Thymosin alpha-1 peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/ta-2,#TA1 #PeptidePen #ImmuneResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,Pen may be listed as ta-2 on site,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,8,,1,3-Bullet Benefits,,,,,,,
P-TB5-001,TB-500,Research Peptide,Pen,TB-500 laboratory research material — pre-filled research format,In-vitro laboratory research material,Actin-binding peptide,Trust / Quality,https://www.palmbeach-vitality.store/products/tb-500,#TB500 #PeptidePen #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,TB-500 pen page not found — using vial URL until pen page live,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Paused,9,,1,3-Bullet Benefits,,,,,,,
P-TES-001,Tesamorelin,GH Pathway Research Peptide,Pen,Tesamorelin laboratory research material — pre-filled research format,In-vitro laboratory research material,GHRH analog,Spotlight Hero,https://www.palmbeach-vitality.store/products/tesamorelin-30mg-pen,#Tesamorelin #PeptidePen #HormonalResearch #PalmBeachVitality #ResearchPeptides #LaboratoryResearch,All pen sizes map here,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA.",Active,10,,1,Hero Spotlight,,,,,,,
