"scene_id","scene_category","scene_name","lab_environment","camera","lighting","product_hero","product_form_detail","compound_id","compound_name","canonical_url","scene_brief","caption_lock","status","rotation_order","last_used_date"
"LAB-023","lab_scene","Pharma cleanroom 023","environmental monitoring ante-room with settle-plate prep benches — bay 11","wide EM ante-room","soft daylight sterile panels","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","V-BPC-001","BPC-157","https://www.palmbeach-vitality.store/products/bpc-157","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: environmental monitoring ante-room with settle-plate prep benches — bay 11. Camera: wide EM ante-room. Lighting: soft daylight sterile panels. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: BPC-157 (V-BPC-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about BPC-157 (V-BPC-001) and its catalog listing.","Active","1",""
"LAB-111","vial_10ml_scene","Pharma lab + 10mL vial 111","pharmaceutical cleanroom gowning bench corridor with step-over benches — bay 1","wide gowning corridor","high-key sterile white","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-WOL-001","BPC-157 / TB-500","https://www.palmbeach-vitality.store/products/wolverine-stack","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: pharmaceutical cleanroom gowning bench corridor with step-over benches — bay 1. Camera: wide gowning corridor. Lighting: high-key sterile white. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: BPC-157 / TB-500 (V-WOL-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about BPC-157 / TB-500 (V-WOL-001) and its catalog listing.","Active","2",""
"LAB-201","pen_3ml_scene","Pharma lab + 3mL pen 201","Grade B gowning airlock into Grade A/B processing with interlocking doors — bay 3","wide shot through airlock into processing suite","high-key sterile cleanroom lighting","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, crimson red ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright crimson red accent ring mid-barrel; white wrap-around label with red stylized DNA double-helix graphic on the left of the label; compound name in large red sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright crimson red textured/ribbed dial on the right end. Color family: standard peptide — RED accents (not GLP blue). Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-KLO-001","KPV / BPC-157 / TB-500 / GHK-Cu","https://www.palmbeach-vitality.store/products/klow-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: Grade B gowning airlock into Grade A/B processing with interlocking doors — bay 3. Camera: wide shot through airlock into processing suite. Lighting: high-key sterile cleanroom lighting. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright crimson red mid accent ring; white wrap label with red DNA helix graphic; label text 'KPV / BPC-157 / TB-500 / GHK-Cu' in large red type plus a smaller '3ml pen' secondary line; bright crimson red ribbed dial on right. ACCENT COLOR LOCK: RED for this peptide (NOT blue). Blue is reserved for Semaglutide, Tirzepatide, and Retatrutide only. Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001) and its catalog listing.","Active","3",""
"LAB-015","lab_scene","Pharma cleanroom 015","aseptic vial filling machine cell with stoppering station under unidirectional airflow — bay 4","three-quarter wide of filler cell","bright clean pharmaceutical catalog light","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","V-MOT-001","MOTS-C","https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: aseptic vial filling machine cell with stoppering station under unidirectional airflow — bay 4. Camera: three-quarter wide of filler cell. Lighting: bright clean pharmaceutical catalog light. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: MOTS-C (V-MOT-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about MOTS-C (V-MOT-001) and its catalog listing.","Active","4",""
"LAB-103","vial_10ml_scene","Pharma lab + 10mL vial 103","QC microbiology clean suite with laminar hoods and incubation banks — bay 11","wide QC micro suite","soft daylight-balanced sterile panels","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-NAD-001","NAD+","https://www.palmbeach-vitality.store/products/nad-1","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: QC microbiology clean suite with laminar hoods and incubation banks — bay 11. Camera: wide QC micro suite. Lighting: soft daylight-balanced sterile panels. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: NAD+ (V-NAD-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about NAD+ (V-NAD-001) and its catalog listing.","Active","5",""
"LAB-204","pen_3ml_scene","Pharma lab + 3mL pen 204","HPLC / UPLC analytical QC lab for release testing of injectables — bay 12","wide instrument alley establishing shot","cool instrument-panel glow with soft overhead","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, crimson red ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright crimson red accent ring mid-barrel; white wrap-around label with red stylized DNA double-helix graphic on the left of the label; compound name in large red sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright crimson red textured/ribbed dial on the right end. Color family: standard peptide — RED accents (not GLP blue). Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-PT1-001","PT-141","https://www.palmbeach-vitality.store/products/pt-141-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: HPLC / UPLC analytical QC lab for release testing of injectables — bay 12. Camera: wide instrument alley establishing shot. Lighting: cool instrument-panel glow with soft overhead. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright crimson red mid accent ring; white wrap label with red DNA helix graphic; label text 'PT-141' in large red type plus a smaller '3ml pen' secondary line; bright crimson red ribbed dial on right. ACCENT COLOR LOCK: RED for this peptide (NOT blue). Blue is reserved for Semaglutide, Tirzepatide, and Retatrutide only. Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: PT-141 (P-PT1-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about PT-141 (P-PT1-001) and its catalog listing.","Active","6",""
"LAB-018","lab_scene","Pharma cleanroom 018","stability chamber corridor for ICH pharmaceutical stability studies — bay 13","wide corridor of chamber doors","cool violet-tinged chamber LEDs with soft fill","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","V-SEL-001","Selank","https://www.palmbeach-vitality.store/products/selank","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: stability chamber corridor for ICH pharmaceutical stability studies — bay 13. Camera: wide corridor of chamber doors. Lighting: cool violet-tinged chamber LEDs with soft fill. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: Selank (V-SEL-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Selank (V-SEL-001) and its catalog listing.","Active","7",""
"LAB-106","vial_10ml_scene","Pharma lab + 10mL vial 106","weighing / dispense cleanroom with anti-vibration balances under local protection — bay 14","wide weighing suite","bright soft key, clean sterile fill","10mL sterile crimp-seal injectable vial mid-ground in pharmaceutical cleanroom; never twist/screw cap; not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)","V-SER-001","Sermorelin","https://www.palmbeach-vitality.store/products/sermorelin","FULL PHARMA LAB + 10mL STERILE VIAL SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: weighing / dispense cleanroom with anti-vibration balances under local protection — bay 14. Camera: wide weighing suite. Lighting: bright soft key, clean sterile fill. Show the full pharmaceutical cleanroom; place one 10mL sterile injectable-style glass vial (rubber stopper + aluminum crimp seal only; NEVER black twist/screw cap) mid-ground on a clean bench. Not a close-up. Product lock: Sermorelin (V-SER-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Sermorelin (V-SER-001) and its catalog listing.","Active","8",""
"LAB-209","pen_3ml_scene","Pharma lab + 3mL pen 209","finished-goods cold staging for sterile peptide injectables — bay 10","wide staging area with roller racks","cool dock-to-cold-chain lighting","LOCKED PBV slightly elongated 3mL research pen (gray body, clear left cap, crimson red ring + ribbed dial, white DNA-helix label) mid-ground in pharmaceutical cleanroom; not extreme macro; not spa/lifestyle backdrop","LOCKED PBV research pen hardware (exact every time; slightly elongated longer 3mL barrel): light gray/off-white matte elongated barrel; clear transparent plastic tip-cap on left; bright crimson red accent ring mid-barrel; white wrap-around label with red stylized DNA double-helix graphic on the left of the label; compound name in large red sans-serif on the label with smaller secondary line like '8mg 3ml pen' or '3ml pen'; bright crimson red textured/ribbed dial on the right end. Color family: standard peptide — RED accents (not GLP blue). Same longer silhouette/proportions as Palm Beach Vitality research pen template — ONLY the label text changes per compound. Never invent a different pen shape, dial, or wrong accent color.","P-TES-001","Tesamorelin","https://www.palmbeach-vitality.store/products/tesamorelin-30mg-pen","FULL PHARMA LAB + LOCKED PBV 3mL RESEARCH PEN SCENE. Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab, NOT a spa/bathroom/lifestyle marble set. Environment: finished-goods cold staging for sterile peptide injectables — bay 10. Camera: wide staging area with roller racks. Lighting: cool dock-to-cold-chain lighting. Show the full pharmaceutical cleanroom; place ONE locked PBV research pen mid-ground on a clean bench. Not a close-up. PEN HARDWARE LOCK (must match exactly): slightly elongated longer light gray/off-white matte 3mL barrel; clear transparent left tip-cap; bright crimson red mid accent ring; white wrap label with red DNA helix graphic; label text 'Tesamorelin' in large red type plus a smaller '3ml pen' secondary line; bright crimson red ribbed dial on right. ACCENT COLOR LOCK: RED for this peptide (NOT blue). Blue is reserved for Semaglutide, Tirzepatide, and Retatrutide only. Same longer hardware as Palm Beach Vitality research pen template — only label name changes. Product lock: Tesamorelin (P-TES-001). SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about Tesamorelin (P-TES-001) and its catalog listing.","Active","9",""
"LAB-020","lab_scene","Pharma cleanroom 020","media-fill / aseptic process simulation suite with isolator ports — bay 2","wide media-fill suite","high-key Grade A aesthetic lighting","no product close-up; full pharmaceutical cleanroom; compound via typography / optional distant labeled sterile vial","","V-SS3-001","SS-31","https://www.palmbeach-vitality.store/products/ss-31","FULL PHARMA LAB SCENE (wide). Photoreal PHARMACEUTICAL MANUFACTURING cleanroom (GMP / sterile injectables aesthetic). Looks like a real pharma fill-finish or sterile manufacturing suite — stainless, HEPA, classified grades, sanitary finishes — not a generic sci-fi biotech set, not a university teaching lab. Environment: media-fill / aseptic process simulation suite with isolator ports — bay 2. Camera: wide media-fill suite. Lighting: high-key Grade A aesthetic lighting. Do not crop to a single object. Show the entire pharmaceutical cleanroom. Product lock for captions/typography only: SS-31 (V-SS3-001). Optional: one distant labeled 10mL sterile crimp-seal vial on a clean bench — never a macro close-up. SIGNAGE RULE: premium pharmaceutical cleanroom only. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape as decor, no alert-word posters. Neutral room IDs and GMP status panels only.","Captions MUST be only about SS-31 (V-SS3-001) and its catalog listing.","Active","10",""
